open,high,low,close,volume,symbol
210.73,211.050003,205.35001,207.92,47756800.0,AMZN
210.46001,211.59,208.92999,210.64,41346400.0,AMZN
205.47,210.36,203.25,208.56,41137200.0,AMZN
208.10001,208.42999,203.11,205.27,53581500.0,AMZN
204.75999,211.17,203.75,210.11,65881600.0,AMZN
203.8,205.64,202.81,204.86,35669600.0,AMZN
202.070007,206.86,201.50999,204.78999,51003300.0,AMZN
198.13,201.74001,196.0,201.14999,69879200.0,AMZN
198.88,201.16,197.28,198.78999,66321600.0,AMZN
203.96001,203.96001,197.56,199.60001,83975400.0,AMZN
208.059998,208.57001,202.49001,204.080002,65545500.0,AMZN
208.8,212.64999,206.41,206.96001,67175000.0,AMZN
208.97,212.81,203.35001,208.72,91178400.0,AMZN
373.089996,385.32999,372.73001,380.85001,74437800.0,TSLA
379.85001,379.89001,364.45999,367.95999,78628600.0,TSLA
387.26999,387.26999,378.73001,380.29999,67078300.0,TSLA
399.0,403.070007,392.31,392.78,50853100.0,TSLA
395.69,400.12,393.0,399.26999,46890500.0,TSLA
396.22,403.73001,394.42001,395.56,58068300.0,TSLA
399.17001,400.20001,389.95001,391.20001,58504100.0,TSLA
405.17999,406.5,394.64999,395.01001,60973800.0,TSLA
402.28,416.38,402.14999,407.82001,62559900.0,TSLA
402.22,406.59,398.19,399.23999,59258700.0,TSLA
390.049988,401.59,381.39999,398.67999,67018900.0,TSLA
398.089996,402.35001,394.20999,396.73001,64054600.0,TSLA
401.57001,408.62,399.42001,405.54999,51925900.0,TSLA
397.85001,408.32999,394.57999,405.94,68305500.0,TSLA
395.089996,396.34,385.39001,392.42999,62617300.0,TSLA
390.60001,404.54001,388.25,403.32001,55088300.0,TSLA
402.94,407.12,398.10999,402.51001,56890100.0,TSLA
414.42001,416.81,403.66,408.57999,53602500.0,TSLA
412.14999,420.34,412.14999,417.39999,54809700.0,TSLA
399.5,410.82001,397.64001,409.38,58579500.0,TSLA
407.29001,407.70001,394.040009,399.82999,69680000.0,TSLA
408.29999,414.70001,405.5,411.82001,57912200.0,TSLA
